\HA01KHI KMB 0420210205521     0000                                          0000
L1KMB-COM-14AB        AKA  KMB  2021-04-222021-06-01MOL SUCCESS                   SKMB-104021
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAER92015-1188          00000400000000000460000BRLFOB              0000000077000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAES92015-1555          00000200000000001410000BRLFOB              0000000332600
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAET92015-1724          00000200000000001430000BRLFOB              0000000289400
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAEU92015-1757          00001200000000000830000BRLFOB              0000000021200
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAEV92022-1093          00000400000000000300000BRLFOB              0000000012900
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAEW92022-1868          00000200000000001560000BRLFOB              0000000162200
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAEX92026-087           00000200000000002090000BRLFOB              0000000118400
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAEY92033-1041          00000200000000000350000BRLFOB              0000000054200
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAEZ92033-1102          00000400000000000070000BRLFOB              0000000004400
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAFA92033-1166  1A      00000400000000000130000BRLFOB              0000000010800
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAFB92036-008           00000800000000000060000BRLFOB              0000000005000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAFC92039-0068          00000200000000000410000BRLFOB              0000000005000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAFD92039-0088          00000600000000000450000BRLFOB              0000000012800
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAFE92042-014           00000600000000000100000BRLFOB              0000000015400
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAFF92043-1037          00000600000000000180000BRLFOB              0000000025400
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAFG92043-1263          00000800000000000100000BRLFOB              0000000019600
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAFH92043-1358          00000400000000001230000BRLFOB              0000000348000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAFI92043-1567          00000800000000000450000BRLFOB              0000000055000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAFJ92043-4009          00000400000000000260000BRLFOB              0000000033800
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAFK92046-1202          00000600000000006130000BRLFOB              0000000423200
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAFL92046-1273          00000600000000005430000BRLFOB              0000000339300
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAFM92048-1110  KD      00000400000000005180000BRLFOB              0000000300000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAFN92048-1111  KD      00000400000000005840000BRLFOB              0000000362000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAFO92049-0093          00000400000000001400000BRLFOB              0000000013600
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAFP92049-0791          00000200000000001470000BRLFOB              0000000036000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAFR92049-1519          00000200000000001130000BRLFOB              0000000010000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAFS92057-0098          00000200000000015290000BRLFOB              0000001003000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAFT92057-0618          00000200000000018450000BRLFOB              0000002615600
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAFU92066-0003          00000200000000001020000BRLFOB              0000000115000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAFV92066-0054          00000200000000001720000BRLFOB              0000000042200
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAFW92066-0061  1A      00000200000000001110000BRLFOB              0000000067700
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAFX92066-0071          00000200000000000240000BRLFOB              0000000010000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAFY92071-1270          00000400000000001750000BRLFOB              0000000012000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAFZ92072-3874          00000400000000000120000BRLFOB              0000000006500
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAGA92075-261           00000200000000000190000BRLFOB              0000000020000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAGB92092-1018          00001200000000002540000BRLFOB              0000000160000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAGC92093-1030          00000200000000000890000BRLFOB              0000000002500
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAGD92140-1068          00000400000000003390000BRLFOB              0000000280000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAGE92143-1498  1A      00000200000000002670000BRLFOB              0000000102000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAGF92144-1126          00000400000000000620000BRLFOB              0000000058100
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAGG92144-1141          00000200000000000490000BRLFOB              0000000015300
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAGH92144-1818          00000200000000002370000BRLFOB              0000000266800
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAGI92145-0066          00000200000000000900000BRLFOB              0000000020500
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAGJ92145-1158          00000200000000001010000BRLFOB              0000000202900
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAGK92145-1744          00000200000000001750000BRLFOB              0000000233400
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAGL92150-1690          00000800000000000980000BRLFOB              0000000275800
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAGM92152-1075  1A      00000200000000002490000BRLFOB              0000000050000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAGN92153-0327          00000400000000000530000BRLFOB              0000000125000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAGO92153-0793          00000800000000000920000BRLFOB              0000000153000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAGP92153-0816          00000400000000000290000BRLFOB              0000000066300
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAGQ92153-0962          00001200000000000530000BRLFOB              0000000116200
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAGR92153-0963          00000600000000000440000BRLFOB              0000000106300
